"8520","# doc = first-class.2.txt","","","","","","","","","","","","","","","",""
"8521","# speaker = К","","","","","","","","","","","","","","","",""
"8522","# sent = 725","","","","","","","","","","","","","","","",""
"8739","","все","ВСЕ","SPRO nom sg","","","все понятно , _все_ известно // Вот","е","с","в","","","","S","ВСЕ","S - - acc pl","Е"
"8740","","известно","ИЗВЕСТНО","A =bref n","","","понятно , все _известно_ // Вот .","о","н","т","с","е","в","ADV","ИЗВЕСТНО","ADV -","О"
"8741","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8742","","Вот","ВОТ","PART","","","все известно // _Вот_ .  ","т","о","в","","","","PART","ВОТ","PART","Т"
"8743","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8744","","","","","","","","","","","","","","","","",""
"8745","# sent = 727","","","","","","","","","","","","","","","",""
"8746","","Стал","СТАТЬ","V pf praet sg indic m -","","",".   _Стал_ вопрос , что","л","а","т","с","","","V","СТАТЬ","V pf praet sg indic m -","Ь"
"8747","","вопрос","ВОПРОС","S m inan nom sg","","","  Стал _вопрос_ , что меня","с","о","р","п","о","в","S","ВОПРОС","S m inan nom sg","С"
"8748","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8749","","что","ЧТО","CONJ","","","Стал вопрос , _что_ меня , наверно","о","т","ч","","","","CONJ","ЧТО","CONJ","О"
"8750","","меня","Я","SPRO sg 1p - gen","","","вопрос , что _меня_ , наверно ,","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8751","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8752","","наверно","НАВЕРНО","PARENTH","","","что меня , _наверно_ , надо через","о","н","р","е","в","а","ADV","НАВЕРНО","ADV -","О"
"8753","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8754","","надо","НАДО","PRAEDIC","","",", наверно , _надо_ через класс перевести","о","д","а","н","","","PRAEDIC","НАДО","ADV -","О"
"8755","","через","ЧЕРЕЗ","PR","","","наверно , надо _через_ класс перевести /","з","е","р","е","ч","","PR","ЧЕРЕЗ","PR","З"
"8756","","класс","КЛАСС","S m inan acc sg","","",", надо через _класс_ перевести / но","с","с","а","л","к","","S","КЛАСС","S m inan acc sg","С"
"8757","","перевести","ПЕРЕВЕСТИ","V pf - - inf - -","","","надо через класс _перевести_ / но в","и","т","с","е","в","е","V","ПЕРЕВЕСТИ","V pf - - inf - -","И"
"8758","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8759","","но","НО","CONJ","","","класс перевести / _но_ в то время","о","н","","","","","CONJ","НО","CONJ","О"
"8760","","в","В","PR","","","перевести / но _в_ то время это","в","","","","","","PR","В","PR","В"
"8761","","то","ТОТ","A - acc sg plen n inan","","","/ но в _то_ время это уже","о","т","","","","","A","ТОТ","A - acc sg plen n inan","Т"
"8762","","время","ВРЕМЯ","S n inan acc sg","","","но в то _время_ это уже не","я","м","е","р","в","","S","ВРЕМЯ","S n inan acc sg","Я"
"8763","","это","ЭТО","SPRO n - nom sg","","","в то время _это_ уже не практиковалось","о","т","э","","","","SPRO","ЭТО","S n - nom sg","О"
"8764","","уже","УЖЕ","ADV -","","","то время это _уже_ не практиковалось и","е","ж","у","","","","ADV","УЖЕ","ADV -","Е"
"8765","","не","НЕ","PART","","","время это уже _не_ практиковалось и /","е","н","","","","","PART","НЕ","PART","Е"
"8766","","практиковалось","ПРАКТИКОВАТЬСЯ","V ipf praet sg indic n -","","","это уже не _практиковалось_ и / ","ь","с","о","л","а","в","V","ПРАКТИКОВАТЬСЯ","V ipf praet sg indic n -","Я"
"8767","","и","И","CONJ","","","уже не практиковалось _и_ /  ","и","","","","","","CONJ","И","CONJ","И"
"8768","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8769","","","","","","","","","","","","","","","","",""
"8770","# sent = 728","","","","","","","","","","","","","","","",""
"8771","# speaker = М","","","","","","","","","","","","","","","",""
"8772","# sent = 729","","","","","","","","","","","","","","","",""
"8773","<span class=""note"">","","","","","","","","","","","","","","","",""
"8774","<note>","смеется","","","","","","","","","","","","","","",""
"8775","</span>","","","","","","","","","","","","","","","",""
"8776","","","","","","","","","","","","","","","","",""
"8777","# sent = 730","","","","","","","","","","","","","","","",""
"8778","# speaker = К","","","","","","","","","","","","","","","",""
"8779","# sent = 731","","","","","","","","","","","","","","","",""
"8780","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"8781","","это","ЭТО","SPRO n - nom sg","","","  ... _это_ / закончилось .","о","т","э","","","","SPRO","ЭТО","S n - nom sg","О"
"8782","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8783","","закончилось","ЗАКОНЧИТЬСЯ","V pf praet sg indic n -","","","... это / _закончилось_ . // Вундеркинда","ь","с","о","л","и","ч","V","ЗАКОНЧИТЬСЯ","V pf praet sg indic n -","Я"
"8784","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8785","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8786","","Вундеркинда","ВУНДЕРКИНД","S m anim gen sg","","","закончилось . // _Вундеркинда_ из меня не","а","д","н","и","к","р","S","ВУНДЕРКИНД","S m anim acc sg","Д"
"8787","","из","ИЗ","PR","","",". // Вундеркинда _из_ меня не получилось","з","и","","","","","PR","ИЗ","PR","З"
"8788","","меня","Я","SPRO sg 1p - gen","","","// Вундеркинда из _меня_ не получилось //","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8789","","не","НЕ","PART","","","Вундеркинда из меня _не_ получилось // ","е","н","","","","","PART","НЕ","PART","Е"
"8790","","получилось","ПОЛУЧИТЬСЯ","V pf praet sg indic n -","","","из меня не _получилось_ //  ","ь","с","о","л","и","ч","V","ПОЛУЧИТЬСЯ","V pf praet sg indic n -","Я"
"8791","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8792","","","","","","","","","","","","","","","","",""
"8793","# sent = 732","","","","","","","","","","","","","","","",""
"8794","# speaker = М","","","","","","","","","","","","","","","",""
"8795","# sent = 733","","","","","","","","","","","","","","","",""
"8796","","Ну","НУ","PART","","","   _Ну_ , ты все равно","у","н","","","","","PART","НУ","PART","У"
"8797","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8798","","ты","ТЫ","SPRO sg 2p - nom","",""," Ну , _ты_ все равно на пятерки","ы","т","","","","","SPRO","ТЫ","SPRO sg 2p - nom","Ы"
"8799","","все равно","все равно","ADV -","","","Ну , ты _все равно_ на пятерки все","о","н","в","а","р"," ","ADV","все равно","ADV -","о"
"8800","","на","НА","PR","","",", ты все равно _на_ пятерки все закончил","а","н","","","","","PR","НА","PR","А"
"8801","","пятерки","ПЯТЕРКА","S f inan acc pl","","","ты все равно на _пятерки_ все закончил ","и","к","р","е","т","я","S","ПЯТЕРКА","S f inan acc sg","А"
"8802","","все","ВСЕ","SPRO nom sg","","","все равно на пятерки _все_ закончил  ","е","с","в","","","","S","ВСЕ","S - - acc pl","Е"
"8803","","закончил","ЗАКОНЧИТЬ","V pf praet sg indic m -","","","на пятерки все _закончил_   ","л","и","ч","н","о","к","V","ЗАКОНЧИТЬ","V pf praet sg indic m -","Ь"
"8804","","","","","","","","","","","","","","","","",""
"8805","# sent = 734","","","","","","","","","","","","","","","",""
"8806","# speaker = K","","","","","","","","","","","","","","","",""
"8807","# sent = 735","","","","","","","","","","","","","","","",""
"8808","","Почти","ПОЧТИ","ADV -","","","   _Почти_ учился на одни","и","т","ч","о","п","","ADV","ПОЧТИ","ADV -","И"
"8809","","учился","УЧИТЬСЯ","V ipf praet sg indic m -","","","  Почти _учился_ на одни пятерки","я","с","л","и","ч","у","V","УЧИТЬСЯ","V ipf praet sg indic m -","Я"
"8810","","на","НА","PR","",""," Почти учился _на_ одни пятерки ,","а","н","","","","","PR","НА","PR","А"
"8811","","одни","ОДИН","ANUM - acc pl plen - inan","","","Почти учился на _одни_ пятерки , да","и","н","д","о","","","ANUM","ОДИН","A - acc pl plen - inan","Н"
"8812","","пятерки","ПЯТЕРКА","S f inan acc pl","","","учился на одни _пятерки_ , да .","и","к","р","е","т","я","S","ПЯТЕРКА","S f inan acc pl","А"
"8813","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8814","","да","ДА","PART","","","одни пятерки , _да_ . // И","а","д","","","","","PART","ДА","PART","А"
"8815","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8816","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8817","","И","И","CONJ","","","да . // _И_ по устным предметам","и","","","","","","CONJ","И","CONJ","И"
"8818","","по","ПО","PR","","",". // И _по_ устным предметам я","о","п","","","","","PR","ПО","PR","О"
"8819","","устным","УСТНЫЙ","A - dat pl plen - -","","","// И по _устным_ предметам я никогда","м","ы","н","т","с","у","A","УСТНЫЙ","A - dat pl plen - -","Й"
"8820","","предметам","ПРЕДМЕТ","S m inan dat pl","","","И по устным _предметам_ я никогда не","м","а","т","е","м","д","S","ПРЕДМЕТ","S m inan dat pl","Т"
"8821","","я","Я","SPRO sg 1p - nom","","","по устным предметам _я_ никогда не занимался","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8822","","никогда","НИКОГДА","ADV  0","","","устным предметам я _никогда_ не занимался дома","а","д","г","о","к","и","ADV","НИКОГДА","ADV -","А"
"8823","","не","НЕ","PART","","","предметам я никогда _не_ занимался дома .","е","н","","","","","PART","НЕ","PART","Е"
"8824","","занимался","ЗАНИМАТЬСЯ","V ipf praet sg indic m -","","","я никогда не _занимался_ дома . //","я","с","л","а","м","и","V","ЗАНИМАТЬСЯ","V ipf praet sg indic m -","Я"
"8825","","дома","ДОМА","S m inan gen sg","","","никогда не занимался _дома_ . // Мне","а","м","о","д","","","ADV","ДОМА","ADV -","А"
"8826","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8827","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8828","","Мне","Я","SPRO sg 1p - dat","","","дома . // _Мне_ хватало .. ","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"8829","","хватало","ХВАТАТЬ","V ipf praet sg indic n -","","",". // Мне _хватало_ ..  ","о","л","а","т","а","в","V","ХВАТАТЬ","V ipf praet sg indic n -","Ь"
"8830","","..","..","PUNCT","","","","","","","","","","PUNCT","","",""
"8831","","","","","","","","","","","","","","","","",""
"8832","# sent = 736","","","","","","","","","","","","","","","",""
"8833","","Было","БЫТЬ","V ipf praet sg indic n -","","","..   _Было_ достаточно того ,","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"8834","","достаточно","ДОСТАТОЧНО","ADV -","","","  Было _достаточно_ того , что","о","н","ч","о","т","а","ADV","ДОСТАТОЧНО","ADV -","О"
"8835","","того","ТО","SPRO n - gen sg","",""," Было достаточно _того_ , что //","о","г","о","т","","","SPRO","ТО","S n - gen sg","О"
"8836","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8837","","что","ЧТО","CONJ","","","достаточно того , _что_ // прослушивал на","о","т","ч","","","","CONJ","ЧТО","CONJ","О"
"8838","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8839","","прослушивал","ПРОСЛУШИВАТЬ","V ipf praet sg indic m -","","",", что // _прослушивал_ на уроке //","л","а","в","и","ш","у","V","ПРОСЛУШИВАТЬ","V ipf praet sg indic m -","Ь"
"8840","","на","НА","PR","","","что // прослушивал _на_ уроке // Хватит","а","н","","","","","PR","НА","PR","А"
"8841","","уроке","УРОК","S m inan loc sg","","","// прослушивал на _уроке_ // Хватит ?","е","к","о","р","у","","S","УРОК","S m inan loc sg","К"
"8842","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8843","","Хватит","ХВАТИТЬ","V pf fut sg indic - 3p","","","на уроке // _Хватит_ ?  ","т","и","т","а","в","х","V","ХВАТИТЬ","V pf fut sg indic - 3p","Ь"
"8844","","?","?","PUNCT","","","","","","","","","","PUNCT","","",""
"8845","","","","","","","","","","","","","","","","",""
"8846","# sent = 737","","","","","","","","","","","","","","","",""
"8847","# speaker = M","","","","","","","","","","","","","","","",""
"8848","# sent = 738","","","","","","","","","","","","","","","",""
"8849","","Нет","НЕТ","PART","","","   _Нет_ / Почему тогда","т","е","н","","","","PART","НЕТ","PART","Т"
"8850","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8851","","Почему","ПОЧЕМУ","ADV -","",""," Нет / _Почему_ тогда ты не","у","м","е","ч","о","п","ADV","ПОЧЕМУ","ADV -","У"
"8852","","тогда","ТОГДА","ADV -","","","Нет / Почему _тогда_ ты не выбрал","а","д","г","о","т","","ADV","ТОГДА","ADV -","А"
"8853","","ты","ТЫ","SPRO sg 2p - nom","","","/ Почему тогда _ты_ не выбрал какую-нибудь","ы","т","","","","","SPRO","ТЫ","SPRO sg 2p - nom","Ы"
"8854","","не","НЕ","PART","","","Почему тогда ты _не_ выбрал какую-нибудь ...","е","н","","","","","PART","НЕ","PART","Е"
"8855","","выбрал","ВЫБРАТЬ","V pf praet sg indic m -","","","тогда ты не _выбрал_ какую-нибудь ... ","л","а","р","б","ы","в","V","ВЫБРАТЬ","V pf praet sg indic m -","Ь"
"8856","","какую-нибудь","КАКОЙ-НИБУДЬ","APRO - acc sg plen f inan","","","ты не выбрал _какую-нибудь_ ...  ","ь","д","у","б","и","н","APRO","КАКОЙ-НИБУДЬ","A - acc sg plen f inan","Ь"
"8857","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"8858","","","","","","","","","","","","","","","","",""
"8859","# sent = 739","","","","","","","","","","","","","","","",""
"8860","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8861","","в","В","PR","","","  / _в_ этом ... ","в","","","","","","PR","В","PR","В"
"8862","","этом","ЭТО","SPRO n - loc sg","",""," / в _этом_ ...  ","м","о","т","э","","","SPRO","ЭТО","S n - loc sg","О"
"8863","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"8864","","","","","","","","","","","","","","","","",""
"8865","# sent = 740","","","","","","","","","","","","","","","",""
"8866","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8867","","не","НЕ","PART","","","  / _не_ решил учиться дальше","е","н","","","","","PART","НЕ","PART","Е"
"8868","","решил","РЕШИТЬ","V pf praet sg indic m -","",""," / не _решил_ учиться дальше :","л","и","ш","е","р","","V","РЕШИТЬ","V pf praet sg indic m -","Ь"
"8869","","учиться","УЧИТЬСЯ","V ipf - - inf - -","","","/ не решил _учиться_ дальше : в","я","с","ь","т","и","ч","V","УЧИТЬСЯ","V ipf - - inf - -","Я"
"8870","","дальше","ДАЛЕКО","ADV comp","","","не решил учиться _дальше_ : в ","е","ш","ь","л","а","д","ADV","ДАЛЕКО","ADV comp","О"
"8871","",":",":","PUNCT","","","","","","","","","","PUNCT","","",""
"8872","","в","В","PR","","","учиться дальше : _в_  институуте ","в","","","","","","PR","В","PR","В"
"8873","<distinct form=""","","","","","","","","","","","","","","","",""
"8874","<dist>","институуте","","","","","","","","","","","","","","",""
"8875",""">","","","","","","","","","","","","","","","",""
"8876","","институте","ИНСТИТУТ","S m inan loc sg","",""," институуте  _институте_  ...? ","е","т","у","т","и","т","S","ИНСТИТУТ","S m inan loc sg","Т"
"8877","</distinct>","","","","","","","","","","","","","","","",""
"8878","","...?","...?","PUNCT","","","","","","","","","","PUNCT","","",""
"8879","","","","","","","","","","","","","","","","",""
"8880","# sent = 741","","","","","","","","","","","","","","","",""
"8881","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8882","","","","","","","","","","","","","","","","",""
"8883","# sent = 742","","","","","","","","","","","","","","","",""
"8884","# speaker = К","","","","","","","","","","","","","","","",""
"8885","# sent = 743","","","","","","","","","","","","","","","",""
"8886","","Конечно","КОНЕЧНО","PARENTH 0","","","   _Конечно_ , я хотел","о","н","ч","е","н","о","ADV","КОНЕЧНО","ADV -","О"
"8887","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8888","","я","Я","SPRO sg 1p - nom","",""," Конечно , _я_ хотел бы учиться","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8889","","хотел","ХОТЕТЬ","V ipf praet sg indic m -","","","Конечно , я _хотел_ бы учиться в","л","е","т","о","х","","V","ХОТЕТЬ","V ipf praet sg indic m -","Ь"
"8890","","бы","БЫ","PART","","",", я хотел _бы_ учиться в институте","ы","б","","","","","PART","БЫ","PART","Ы"
"8891","","учиться","УЧИТЬСЯ","V ipf - - inf - -","","","я хотел бы _учиться_ в институте /","я","с","ь","т","и","ч","V","УЧИТЬСЯ","V ipf - - inf - -","Я"
"8892","","в","В","PR","","","хотел бы учиться _в_ институте / ","в","","","","","","PR","В","PR","В"
"8893","","институте","ИНСТИТУТ","S m inan loc sg","","","бы учиться в _институте_ /  ","е","т","у","т","и","т","S","ИНСТИТУТ","S m inan loc sg","Т"
"8894","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8895","","","","","","","","","","","","","","","","",""
"8896","# sent = 744","","","","","","","","","","","","","","","",""
"8897","# speaker = М","","","","","","","","","","","","","","","",""
"8898","# sent = 745","","","","","","","","","","","","","","","",""
"8899","<span class=""note"">","","","","","","","","","","","","","","","",""
"8900","<note>","Говорят одновременно","","","","","","","","","","","","","","",""
"8901","</span>","","","","","","","","","","","","","","","",""
"8902","","","","","","","","","","","","","","","","",""
"8903","# sent = 746","","","","","","","","","","","","","","","",""
"8904","# speaker = K","","","","","","","","","","","","","","","",""
"8905","# sent = 747","","","","","","","","","","","","","","","",""
"8906","","Но","НО","CONJ","","","   _Но_ не было возможности","о","н","","","","","CONJ","НО","CONJ","О"
"8907","","не","НЕ","PART","","","  Но _не_ было возможности .","е","н","","","","","PART","НЕ","PART","Е"
"8908","","было","БЫТЬ","V ipf praet sg indic n -","",""," Но не _было_ возможности . //","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"8909","","возможности","ВОЗМОЖНОСТЬ","S f inan gen sg","","","Но не было _возможности_ . // Мать","и","т","с","о","н","ж","S","ВОЗМОЖНОСТЬ","S f inan loc sg","Ь"
"8910","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8911","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8912","","Мать","МАТЬ","S f anim nom sg","","","возможности . // _Мать_ умерла когда мне","ь","т","а","м","","","S","МАТЬ","S f anim nom sg","Ь"
"8913","","умерла","УМЕРЕТЬ","V pf praet sg indic f -","","",". // Мать _умерла_ когда мне было","а","л","р","е","м","у","V","УМЕРЕТЬ","V pf praet sg indic f -","Ь"
"8914","","когда","КОГДА","CONJ","","","// Мать умерла _когда_ мне было 9","а","д","г","о","к","","CONJ","КОГДА","CONJ","А"
"8915","","мне","Я","SPRO sg 1p - dat","","","Мать умерла когда _мне_ было 9 лет","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"8916","","было","БЫТЬ","V ipf praet sg indic n -","","","умерла когда мне _было_ 9 лет /","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"8917","","9","9","NUM - - -","","","когда мне было _9_ лет / ,","9","","","","","","NUM","9","NUM - - -","9"
"8918","","лет","ГОД","S m inan gen pl","","","мне было 9 _лет_ / , жил","т","е","л","","","","S","ГОД","S m inan gen pl","Д"
"8919","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8920","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8921","","жил","ЖИТЬ","V ipf praet sg indic m -","","","лет / , _жил_ я у деда","л","и","ж","","","","V","ЖИТЬ","V ipf praet sg indic m -","Ь"
"8922","","я","Я","SPRO sg 1p - nom","","","/ , жил _я_ у деда ,","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8923","","у","У","PR","","",", жил я _у_ деда , а","у","","","","","","PR","У","PR","У"
"8924","","деда","ДЕД","S m anim gen sg","","","жил я у _деда_ , а тут","а","д","е","д","","","S","ДЕД","S m anim gen sg","Д"
"8925","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8926","","а","А","CONJ","","","у деда , _а_ тут еще /","а","","","","","","CONJ","А","CONJ","А"
"8927","","тут","ТУТ","ADV -","","","деда , а _тут_ еще / случился","т","у","т","","","","ADV","ТУТ","ADV -","Т"
"8928","","еще","ЕЩЕ","ADV -","","",", а тут _еще_ / случился пожар","е","щ","е","","","","ADV","ЕЩЕ","ADV -","Е"
"8929","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8930","","случился","СЛУЧИТЬСЯ","V pf praet sg indic m -","","","тут еще / _случился_ пожар , сгорел","я","с","л","и","ч","у","V","СЛУЧИТЬСЯ","V pf praet sg indic m -","Я"
"8931","","пожар","ПОЖАР","S m inan nom sg","","","еще / случился _пожар_ , сгорел дом","р","а","ж","о","п","","S","ПОЖАР","S m inan nom sg","Р"
"8932","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8933","","сгорел","СГОРЕТЬ","V pf praet sg indic m -","","","случился пожар , _сгорел_ дом / ,","л","е","р","о","г","с","V","СГОРЕТЬ","V pf praet sg indic m -","Ь"
"8934","","дом","ДОМ","S m inan acc sg","","","пожар , сгорел _дом_ / , в","м","о","д","","","","S","ДОМ","S m inan acc sg","М"
"8935","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8936","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8937","","в","В","PR","","","дом / , _в_ общем , не","в","","","","","","PR","В","PR","В"
"8938","","общем","ОБЩИЙ","PARENTH","","","/ , в _общем_ , не было","м","е","щ","б","о","","A","ОБЩИЙ","A - loc sg plen m -","Й"
"8939","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8940","","не","НЕ","PART","","","в общем , _не_ было никакой возможности","е","н","","","","","PART","НЕ","PART","Е"
"8941","","было","БЫТЬ","V ipf praet sg indic n -","","","общем , не _было_ никакой возможности .","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"8942","","никакой","НИКАКОЙ","APRO - gen sg plen f -","","",", не было _никакой_ возможности . //","й","о","к","а","к","и","APRO","НИКАКОЙ","A - gen sg plen f -","Й"
"8943","","возможности","ВОЗМОЖНОСТЬ","S f inan gen sg","","","не было никакой _возможности_ . // Пытались","и","т","с","о","н","ж","S","ВОЗМОЖНОСТЬ","S f inan loc sg","Ь"
"8944","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8945","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8946","","Пытались","ПЫТАТЬСЯ","V ipf praet pl indic - -","","","возможности . // _Пытались_ меня / направить","ь","с","и","л","а","т","V","ПЫТАТЬСЯ","V ipf praet pl indic - -","Я"
"8947","","меня","Я","SPRO sg 1p - gen","","",". // Пытались _меня_ / направить в","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8948","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8949","","направить","НАПРАВИТЬ","V pf - - inf - -","","","Пытались меня / _направить_ в Нахимовское училище","ь","т","и","в","а","р","V","НАПРАВИТЬ","V pf - - inf - -","Ь"
"8950","","в","В","PR","","","меня / направить _в_ Нахимовское училище .","в","","","","","","PR","В","PR","В"
"8951","","Нахимовское","НАХИМОВСКИЙ","A - loc sg plen m -","","","/ направить в _Нахимовское_ училище . //","е","о","к","с","в","о","A","НАХИМОВСКИЙ","A - loc sg plen m -","Й"
"8952","","училище","УЧИЛИЩЕ","S n inan loc sg","","","направить в Нахимовское _училище_ . // Было","е","щ","и","л","и","ч","S","УЧИЛИЩЕ","S n inan loc sg","Е"
"8953","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8954","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8955","","Было","БЫТЬ","V ipf praet sg indic n -","","","училище . // _Было_ нас два кандидата","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"8956","","нас","МЫ","SPRO pl 1p - gen","","",". // Было _нас_ два кандидата от","с","а","н","","","","SPRO","МЫ","SPRO pl 1p - loc","Ы"
"8957","","два","ДВА","NUM nom m inan","","","// Было нас _два_ кандидата от района","а","в","д","","","","NUM","ДВА","NUM acc m inan","А"
"8958","","кандидата","КАНДИДАТ","S m anim gen sg","","","Было нас два _кандидата_ от района //","а","т","а","д","и","д","S","КАНДИДАТ","S m anim gen sg","Т"
"8959","","от","ОТ","PR","","","нас два кандидата _от_ района // ,","т","о","","","","","PR","ОТ","PR","Т"
"8960","","района","РАЙОН","S m inan gen sg","","","два кандидата от _района_ // , я","а","н","о","й","а","р","S","РАЙОН","S m inan gen sg","Н"
"8961","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8962","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8963","","я","Я","SPRO sg 1p - nom","","","района // , _я_ не прошел ,","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8964","","не","НЕ","PART","","","// , я _не_ прошел , потому что","е","н","","","","","PART","НЕ","PART","Е"
"8965","","прошел","ПРОЙТИ","V pf praet sg indic m -","","",", я не _прошел_ , потому что у","л","е","ш","о","р","п","V","ПРОЙТИ","V pf praet sg indic m -","И"
"8966","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8967","","потому что","потому что","CONJ","","","не прошел , _потому что_ у того кандидата","о","т","ч"," ","у","м","CONJ","потому что","CONJ","о"
"8968","","у","У","PR","","","прошел , потому что _у_ того кандидата отец","у","","","","","","PR","У","PR","У"
"8969","","того","ТОТ","APRO - gen sg plen m anim","","",", потому что у _того_ кандидата отец бы","о","г","о","т","","","APRO","ТОТ","A - acc sg plen m anim","Т"
"8970","","кандидата","КАНДИДАТ","S m anim gen sg","","","потому что у того _кандидата_ отец бы погибший","а","т","а","д","и","д","S","КАНДИДАТ","S m anim gen sg","Т"
"8971","","отец","ОТЕЦ","S m anim nom sg","","","у того кандидата _отец_ бы погибший ,","ц","е","т","о","","","S","ОТЕЦ","S m anim nom sg","Ц"
"8972","","бы","БЫ","PART","","","того кандидата отец _бы_ погибший , а","ы","б","","","","","PART","БЫ","PART","Ы"
"8973","","погибший","ПОГИБШИЙ","A - nom sg plen m -","","","кандидата отец бы _погибший_ , а у","й","и","ш","б","и","г","A","ПОГИБШИЙ","A - nom sg plen m -","Й"
"8974","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8975","","а","А","CONJ","","","бы погибший , _а_ у меня пропавший","а","","","","","","CONJ","А","CONJ","А"
"8976","","у","У","PR","","","погибший , а _у_ меня пропавший безвести","у","","","","","","PR","У","PR","У"
"8977","","меня","Я","SPRO sg 1p - gen","","",", а у _меня_ пропавший безвести .","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8978","","пропавший","ПРОПАСТЬ","PARTCP pf praet acc sg plen m act inan","","","а у меня _пропавший_ безвести . ","й","и","ш","в","а","п","PARTCP","ПРОПАСТЬ","PARTCP pf praet acc sg plen m act inan","Ь"
"8979","","безвести","ВЕСТЬ","S f inan gen sg","раздельно","","у меня пропавший _безвести_ .  ","и","т","с","е","в","з","S","БЕЗВЕСТЬ","S f inan gen sg","Ь"
"8980","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8981","","","","","","","","","","","","","","","","",""
"8982","# sent = 748","","","","","","","","","","","","","","","",""
"8983","# speaker = М","","","","","","","","","","","","","","","",""
"8984","# sent = 749","","","","","","","","","","","","","","","",""
"8985","","А","А","CONJ","","","   _А_ это учитывалось ?","а","","","","","","CONJ","А","CONJ","А"
"8986","","это","ЭТО","SPRO n - nom sg","","","  А _это_ учитывалось ? ","о","т","э","","","","SPRO","ЭТО","S n - nom sg","О"
